date,total_articles,avg_tone
2015-02-17,25,-0.43249297893781635
2015-02-18,55409,-1.1022213779368661
2015-02-19,551962,-1.0583083598250309
2015-02-20,595637,-1.1456785984131914
2015-02-21,406449,-1.0404492511964207
2015-02-22,374537,-1.003882884575559
2015-02-23,597246,-0.85945190679001882
2015-02-24,663900,-1.0956306249795063
2015-02-25,677012,-1.1607414024766904
2015-02-26,665848,-1.1085903050508943
2015-02-27,630814,-1.0486283007475514
2015-02-28,421733,-1.0937455946907835
2015-03-01,378453,-0.94852321393429473
2015-03-02,613012,-0.95735614141749781
2015-03-03,675853,-1.0157013661731833
2015-03-04,674441,-1.0562458420060503
2015-03-05,660405,-0.9943255455967781
2015-03-06,621115,-1.0404839337381702
2015-03-07,417371,-1.133374244666544
2015-03-08,380986,-0.95988038455117819
2015-03-09,624564,-0.933054654400956
2015-03-10,650991,-1.001169529791293
2015-03-11,665679,-1.1100616246015214
2015-03-12,671334,-1.0639928671175372
2015-03-13,640132,-1.0489747563394782
2015-03-14,408791,-0.99738216709609018
2015-03-15,389234,-1.0535941798975228
2015-03-16,615626,-1.0335542176070045
2015-03-17,661143,-1.0438759188675044
2015-03-18,666926,-1.1176147662115394
2015-03-19,669179,-1.1647941689575467
2015-03-20,635270,-1.1119329698786957
2015-03-21,402177,-1.1021608660746951
2015-03-22,369952,-0.97654535472422554
2015-03-23,599957,-0.963978541936239
2015-03-24,632026,-1.1456311269930586
2015-03-25,640283,-1.0796291021623114
2015-03-26,640567,-1.0878588232648128
2015-03-27,611005,-1.1194254399978851
2015-03-28,395256,-1.0412655623683675
2015-03-29,368825,-0.94692699403443026
2015-03-30,588962,-1.0044570396830144
2015-03-31,630476,-1.1082993281199263
2015-04-01,625154,-1.0792135871926016
2015-04-02,591296,-1.2084387910420054
2015-04-03,479038,-1.1305307578592871
2015-04-04,332264,-1.2192462096020296
2015-04-05,312695,-1.1126320960927705
2015-04-06,460631,-1.1724230637951316
2015-04-07,583160,-1.1177253001238983
2015-04-08,606162,-1.1870551176523934
2015-04-09,580532,-1.0941537877898773
2015-04-10,533311,-1.0656905772554743
2015-04-11,352650,-1.1384029754723597
2015-04-12,326885,-1.0877871891434761
2015-04-13,527220,-1.0703519502549037
2015-04-14,602034,-1.1078995993790191
2015-04-15,602754,-1.0923544442205695
2015-04-16,591095,-1.0748027965313804
2015-04-17,561347,-1.1362267863138467
2015-04-18,354060,-1.1742090194056893
2015-04-19,326361,-1.112484739671816
2015-04-20,545693,-1.1049446719005007
2015-04-21,576440,-1.2296919566013387
2015-04-22,622358,-1.1506309238696362
2015-04-23,628875,-1.2086129032052182
2015-04-24,592610,-1.1827993119551508
2015-04-25,370043,-1.2816091619745806
2015-04-26,344476,-1.2319157188627399
2015-04-27,572232,-1.1235670180805259
2015-04-28,625659,-1.2734873427960363
2015-04-29,622755,-1.1020215483038525
2015-04-30,610780,-1.1285413073634993
2015-05-01,476997,-1.1882790425916261
2015-05-02,340062,-1.0556686300918312
2015-05-03,325399,-1.0964634899654508
2015-05-04,500976,-0.98152497570626285
2015-05-05,566861,-1.0798621009793736
2015-05-06,625067,-1.1069192591285482
2015-05-07,616382,-1.014763148023758
2015-05-08,564702,-0.95136091908841391
2015-05-09,363046,-1.1028549801996437
2015-05-10,338611,-1.0374601127797676
2015-05-11,531219,-1.0247968623431978
2015-05-12,617143,-1.15102735313753
2015-05-13,601908,-1.1685428124608885
2015-05-14,573155,-1.0923921126210441
2015-05-15,554659,-1.1496797931532006
2015-05-16,341357,-1.1801654704711697
2015-05-17,335331,-1.1435067932476124
2015-05-18,552971,-1.1147018503996406
2015-05-19,580269,-1.1673453767599189
2015-05-20,606471,-1.1643169161990341
2015-05-21,604868,-1.0804121076716993
2015-05-22,565663,-1.1144864916046588
2015-05-23,357222,-1.0693500621869179
2015-05-24,336201,-0.93964725072151556
2015-05-25,469850,-1.0527724789657325
2015-05-26,577481,-1.1097156696203927
2015-05-27,596216,-1.2097115588794598
2015-05-28,608333,-1.1504224908236445
2015-05-29,553720,-1.2088156444267333
2015-05-30,344524,-1.2758006303729539
2015-05-31,322172,-1.1200830800808923
2015-06-01,527558,-1.0178688969000351
2015-06-02,578982,-1.0712091557649348
2015-06-03,597371,-1.1090224024337478
2015-06-04,574913,-1.15245479449285
2015-06-05,540142,-1.193194044925137
2015-06-06,341639,-1.1568171478387268
2015-06-07,322519,-0.90201077327904122
2015-06-08,536881,-0.98368562897865985
2015-06-09,582709,-1.1798615249201905
2015-06-10,588025,-1.0995184301360641
2015-06-11,596946,-1.1182703977485073
2015-06-12,554194,-1.1717401978523005
2015-06-13,338882,-1.1434446139418213
2015-06-14,312524,-1.1847452100314884
2015-06-15,545946,-1.1843244616757038
2015-06-16,586833,-1.2243487682333638
2015-06-17,588886,-1.189264176494262
2015-06-18,604161,-1.2595306893885476
2015-06-19,554867,-1.3071277383733435
2015-06-20,342897,-1.3401285648234735
2015-06-21,310298,-1.1084575516511501
2015-06-22,537098,-1.18289055485916
2015-06-23,585563,-1.1941227141317496
2015-06-24,585987,-1.2036004754607439
2015-06-25,590023,-1.1806719676993269
2015-06-26,550856,-1.3109594030088128
2015-06-27,350229,-1.2607583759898868
2015-06-28,328476,-1.2085149811232985
2015-06-29,537908,-1.2395677976862511
2015-06-30,596405,-1.214132594393758
2015-07-01,592039,-1.0503725758998448
2015-07-02,570911,-1.1744369922190774
2015-07-03,519012,-1.1105333912234812
2015-07-04,441184,-0.87390337731246914
2015-07-05,518285,-0.78978005479715729
2015-07-06,785130,-0.82184422975081606
2015-07-07,830408,-0.95891306254314046
2015-07-08,832053,-1.007127113767831
2015-07-09,843210,-0.974254602543044
2015-07-10,781468,-0.88333444527698135
2015-07-11,511998,-1.0608217195023275
2015-07-12,481691,-0.89568943926587774
2015-07-13,728751,-0.85491046493967149
2015-07-14,814296,-0.885419896616834
2015-07-15,784235,-0.84715646810614575
2015-07-16,786948,-0.80007437105836476
2015-07-17,699118,-0.83981028095750843
2015-07-18,469515,-1.0476332655639369
2015-07-19,433984,-1.0452686136366918
2015-07-20,710480,-0.98027116685573623
2015-07-21,785596,-1.0582365628320782
2015-07-22,718248,-1.0603257059175897
2015-07-23,761714,-0.97700600910193391
2015-07-24,737554,-1.0779544041533473
2015-07-25,472786,-1.1097204162039447
2015-07-26,439408,-1.1115405162534597
2015-07-27,712275,-1.0344119114366728
2015-07-28,765187,-1.0413391993450214
2015-07-29,721878,-0.98265427538744854
2015-07-30,781604,-1.0227544899584864
2015-07-31,725126,-1.0598193639252691
2015-08-01,479646,-1.0924365354039165
2015-08-02,434309,-1.2524375386133901
2015-08-03,703954,-1.10219279110225
2015-08-04,725043,-1.1494369193108607
2015-08-05,742657,-1.075710731517409
2015-08-06,758405,-1.0289430483635968
2015-08-07,707862,-1.1223170521636194
2015-08-08,467316,-1.4669440973689987
2015-08-09,429277,-1.3520563678938557
2015-08-10,683380,-1.2409649069792865
2015-08-11,741441,-1.1313593804914215
2015-08-12,758040,-1.0925732098974639
2015-08-13,766424,-1.1402334924030255
2015-08-14,714421,-1.0443166756731268
2015-08-15,469826,-1.2101538590661565
2015-08-16,427101,-1.2624827559250509
2015-08-17,707228,-1.1094669106314146
