date,total_mentions,avg_tone
2015-02-17,25,-2.9113198146125372
2015-02-18,96491,-2.8492865422437097
2015-02-19,929902,-2.4980206812708987
2015-02-20,893032,-2.5857162424806379
2015-02-21,658329,-2.8291453848730739
2015-02-22,565992,-2.8628792200314983
2015-02-23,848939,-2.4811527416478563
2015-02-24,986358,-2.6785831100940216
2015-02-25,1041653,-2.9379557570866179
2015-02-26,993967,-2.7713869036598435
2015-02-27,923783,-2.5443212018799675
2015-02-28,649852,-2.9635860936516454
2015-03-01,571377,-2.6776286213768805
2015-03-02,895654,-2.4958407630807686
2015-03-03,1050365,-2.433399548185196
2015-03-04,1041182,-2.5114492561972352
2015-03-05,943859,-2.5550576422053837
2015-03-06,856953,-2.5328552858296449
2015-03-07,696730,-2.6322126576394527
2015-03-08,580930,-2.5118825362693484
2015-03-09,892509,-2.4614779299025944
2015-03-10,920051,-2.4433474280642002
2015-03-11,928413,-2.5093983761912098
2015-03-12,1024259,-2.5755926977026973
2015-03-13,955036,-2.5095861845032847
2015-03-14,588605,-2.2693083279149073
2015-03-15,602260,-2.5393029003688454
2015-03-16,926838,-2.404845712677969
2015-03-17,1005215,-2.2432535818710493
2015-03-18,1068411,-2.6802312241465809
2015-03-19,1046380,-2.9155888397643639
2015-03-20,968327,-2.5137124267919417
2015-03-21,613837,-2.4804574856201347
2015-03-22,564557,-2.2164136105663688
2015-03-23,868772,-2.0827310672670523
2015-03-24,1007804,-2.3782674430150625
2015-03-25,979838,-2.4657764354532161
2015-03-26,1041536,-2.397526752458663
2015-03-27,922750,-2.4179820211758924
2015-03-28,644181,-2.3695629734554289
2015-03-29,542801,-2.3457269100339748
2015-03-30,850082,-2.2293093044006906
2015-03-31,944543,-2.4625090649447285
2015-04-01,902385,-2.47930379944572
2015-04-02,930464,-2.9358664971804442
2015-04-03,742502,-2.5918231126363445
2015-04-04,518250,-2.9235614271363022
2015-04-05,487665,-2.6093751545402295
2015-04-06,726898,-2.5940312704140949
2015-04-07,851140,-2.5031174912969716
2015-04-08,951988,-2.6757604866721429
2015-04-09,939420,-2.3413759562102627
